#ID_Региона	Региона
72	altayskiy-kr
87	amurskaya-obl
19	arkhangelskaya-obl
59	astrakhanskaya-obl
32	belgorodskaya-obl
13	bryanskaya-obl
10	vladimirskaya-obl
51	volgogradskaya-obl
20	vologodskaya-obl
97	voronezhskaya-obl
85	evreyskaya-ao
88	zabaykalskiy-kr
96	ivanovskaya-obl
91	irkutskaya-obl
34	kabardino-balkariya
23	kaliningradskaya-obl
6	kaluzhskaya-obl
84	kamchatskiy-kr
29	karachaevo-cherkesiya
77	kemerovskaya-obl
65	kirovskaya-obl
104	komsomolsk-na-amure
92	kostromskaya-obl
35	adygeya
70	krasnoyarskiy-kr
64	kurganskaya-obl
16	kurskaya-obl
98	lipetskaya-obl
81	magadanskaya-obl
99	moskva
99	moskovskaya-obl
24	murmanskaya-obl
3	nizhegorodskaya-obl
25	novgorodskaya-obl
71	novosibirskaya-obl
79	omskaya-obl
58	orenburgskaya-obl
8	orlovskaya-obl
50	penzenskaya-obl
62	permskiy-kr
86	primorskiy-kr
21	pskovskaya-obl
74	altay
49	bashkortostan
83	buryatiya
28	dagestan
31	ingushetiya
55	kalmykiya
22	kareliya
69	komi
48	mariy-el
47	mordoviya
90	yakutiya
30	severnaya-osetiya
54	kazan-tatarstan
78	tyva
66	udmurtiya
73	khakasiya
27	rostovskaya-obl
17	ryazanskaya-obl
53	samarskaya-obl
18	spb
52	saratovskaya-obl
89	sakhalinskaya-obl
61	sverdlovskaya-obl
93	smolenskaya
36	stavropolskiy-kr
33	tambovskaya-obl
95	tverskaya-obl
76	tomskaya-obl
14	tulskaya-obl
68	tyumenskaya-obl
56	ulyanovskaya-obl
82	khabarovsk-kr
60	khmao
67	chelyabinskaya-obl
26	chechnya
57	chuvashiya
80	chukotskiy-ao
63	yanao
94	yaroslavskaya-obl
