ID_Региона	Регион	URL
72	altayskiy-kr	http://altayskiy-kr.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
87	amurskaya-obl	http://amurskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
19	arkhangelskaya-obl	http://arkhangelskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
59	astrakhanskaya-obl	http://astrakhanskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
32	belgorodskaya-obl	http://belgorodskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
13	bryanskaya-obl	http://bryanskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
10	vladimirskaya-obl	http://vladimirskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
51	volgogradskaya-obl	http://volgogradskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
20	vologodskaya-obl	http://vologodskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
97	voronezhskaya-obl	http://voronezhskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
85	evreyskaya-ao	http://evreyskaya-ao.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
88	zabaykalskiy-kr	http://zabaykalskiy-kr.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
96	ivanovskaya-obl	http://ivanovskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
91	irkutskaya-obl	http://irkutskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
34	kabardino-balkariya	http://kabardino-balkariya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
23	kaliningradskaya-obl	http://kaliningradskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
6	kaluzhskaya-obl	http://kaluzhskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
84	kamchatskiy-kr	http://kamchatskiy-kr.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
29	karachaevo-cherkesiya	http://karachaevo-cherkesiya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
77	kemerovskaya-obl	http://kemerovskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
65	kirovskaya-obl	http://kirovskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
104	komsomolsk-na-amure	http://komsomolsk-na-amure.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
92	kostromskaya-obl	http://kostromskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
35	adygeya	http://adygeya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
70	krasnoyarskiy-kr	http://krasnoyarskiy-kr.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
64	kurganskaya-obl	http://kurganskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
16	kurskaya-obl	http://kurskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
98	lipetskaya-obl	http://lipetskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
81	magadanskaya-obl	http://magadanskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
99	moskva	http://moskva.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
99	moskovskaya-obl	http://moskovskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
24	murmanskaya-obl	http://murmanskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
3	nizhegorodskaya-obl	http://nizhegorodskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
25	novgorodskaya-obl	http://novgorodskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
71	novosibirskaya-obl	http://novosibirskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
79	omskaya-obl	http://omskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
58	orenburgskaya-obl	http://orenburgskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
8	orlovskaya-obl	http://orlovskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
50	penzenskaya-obl	http://penzenskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
62	permskiy-kr	http://permskiy-kr.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
86	primorskiy-kr	http://primorskiy-kr.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
21	pskovskaya-obl	http://pskovskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
74	altay	http://altay.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
49	bashkortostan	http://bashkortostan.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
83	buryatiya	http://buryatiya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
28	dagestan	http://dagestan.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
31	ingushetiya	http://ingushetiya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
55	kalmykiya	http://kalmykiya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
22	kareliya	http://kareliya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
69	komi	http://komi.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
48	mariy-el	http://mariy-el.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
47	mordoviya	http://mordoviya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
90	yakutiya	http://yakutiya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
30	severnaya-osetiya	http://severnaya-osetiya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
54	kazan-tatarstan	http://kazan-tatarstan.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
78	tyva	http://tyva.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
66	udmurtiya	http://udmurtiya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
73	khakasiya	http://khakasiya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
27	rostovskaya-obl	http://rostovskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
17	ryazanskaya-obl	http://ryazanskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
53	samarskaya-obl	http://samarskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
18	spb	http://spb.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
52	saratovskaya-obl	http://saratovskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
89	sakhalinskaya-obl	http://sakhalinskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
61	sverdlovskaya-obl	http://sverdlovskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
93	smolenskaya	http://smolenskaya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
36	stavropolskiy-kr	http://stavropolskiy-kr.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
33	tambovskaya-obl	http://tambovskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
95	tverskaya-obl	http://tverskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
76	tomskaya-obl	http://tomskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
14	tulskaya-obl	http://tulskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
68	tyumenskaya-obl	http://tyumenskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
56	ulyanovskaya-obl	http://ulyanovskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
82	khabarovsk-kr	http://khabarovsk-kr.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
60	khmao	http://khmao.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
67	chelyabinskaya-obl	http://chelyabinskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
26	chechnya	http://chechnya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
57	chuvashiya	http://chuvashiya.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
80	chukotskiy-ao	http://chukotskiy-ao.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
63	yanao	http://yanao.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
94	yaroslavskaya-obl	http://yaroslavskaya-obl.beeline.ru/customers/products/mobile/tariffs/details/sekunda/
