#ID_Тарифа	Тариф
719	Всё 3
718	Всё 2
717	Всё 4
716	Всё 5
715	Всё 1
711	#можноВСЁ.Планшет
44	Секунда
71	Ноль сомнений
726	Всёшечка
0	Интернет навсегда
0	Интернет навсегда + Пакет интернета 15 Гб (Ночной безлимит)
0	Простой интернет
0	Интернет навсегда + Пакет интернета 30 Гб (ночной безлимит)
0	Интернет навсегда + Пакет интернета 10 Гб (ночной безлимит)
0	Интернет навсегда + Пакет интернета 20 Гб (ночной безлимит)
0	Интернет навсегда + Хайвей 8 Гб
0	Интернет навсегда + Хайвей 20 Гб
0	Интернет навсегда + Хайвей 30 Гбайт + ночь
0	Интернет навсегда + Хайвей 30 Гб + ночь
0	Сигнал
0	Интернет навсегда + Хайвей 4 Гб
0	Интернет навсегда + Хайвей 9 Гб
0	Интернет навсегда + Хайвей 18 Гб
0	Интернет навсегда + Хайвей 30 Гб
0	Интернет навсегда + Хайвей 16 Гб
0	Интернет навсегда + Хайвей 6 Гб
0	Интернет навсегда + Хайвей 5 Гб
0	Интернет навсегда + Хайвей 15 Гб
0	Добро пожаловать
0	Интернет навсегда + Пакет интернета 6 Гб
0	Интернет навсегда + Хайвей 10 Гб
0	Ночной интернет
0	Интернет навсегда + Пакет интернета 3 Гб
0	Интернет навсегда + Пакет интернета 5 Гб
0	Интернет навсегда + Пакет интернета 9 Гб
0	Простой интернет + Пакет интернета 9 ГБ
0	Простой интернет + Пакет интернета 15 ГБ (Ночной безлимит)
0	Простой интернет + Пакет интернета 20 ГБ (Ночной безлимит)
0	Интернет навсегда + Хайвей 30 Гб (ночной безлимит)
0	Интернет навсегда + Хайвей 12 Гб
0	Интернет для планшета. Постоплатный + Хайвей 6 Гб
0	Интернет для планшета. Постоплатный + Хайвей 12 Гб
727	Всё за 1800 + роуминг
652	Всё за 1450
653	Всё за 1750
654	Всё за 2350
655	Всё за 3550
0	Интернет навсегда + Хайвей 7 Гб
0	Интернет навсегда + Пакет 15 Гб (ночной безлимит)
0	Интернет навсегда + Пакет 30 Гб (ночной безлимит)
0	Всё включено L (постоплатный) архив 2013
82	Междугородный
0	Простой интернет Хайвей
622	Совсем Всё. Постоплата
0	Интернет навсегда + Пакет интернета 7 Гб (ночной безлимит)
0	Интернет навсегда + Пакет интернета 7 Гб
662	Деловой стиль (постоплатный)
0	Простой интернет + Хайвей 2 Гб
0	Простой интернет Light
45	Посекундный
124	Всё за 500
443	Всё за 800
333	Всё за 1200
336	Всё за 1800
