#ID_Зоны_Ред	Зона_Ред	Зона_Опера
252	Интернет	Мобильный интернет
704	WAP	Мобильный интернет
275	Билайн домашнего региона	Звонки на номера мобильных операторов области подключения и номера «Билайн» России
279	Билайн Россия	Звонки на номера мобильных операторов области подключения и номера «Билайн» России
275	Билайн домашнего региона	Звонки на номера всех операторов области подключения и номера «Билайн» России
279	Билайн Россия	Звонки на номера всех операторов области подключения и номера «Билайн» России
547	Городские вызовы в домашнем регионе	Звонки на номера всех операторов области подключения и номера «Билайн» России
269	Все операторы России	SMS на номера всех операторов дома и в поездках по России
322	В/с роуминг. Все зоны/Все операторы России	SMS на номера всех операторов дома и в поездках по России
335	В/с роуминг. Все зоны/Все операторы России	Звонки на номера всех операторов России, дома и в поездках по стране
280	Все операторы России	Звонки на номера всех операторов России, дома и в поездках по стране
275	Билайн домашнего региона	Звонки на местные номера всех операторов
276	Другие операторы домашнего региона	Звонки на местные номера всех операторов
547	Городские вызовы в домашнем регионе	Другие операторы домашнего региона
275	Билайн домашнего региона	Звонки на номера всех операторов области подключения
276	Другие операторы домашнего региона	Звонки на номера всех операторов области подключения
547	Городские вызовы в домашнем регионе	Звонки на номера всех операторов области подключения

