Регион	Наименование опции	Пакет минут	Пакет интернета	Стоимость опции
Алтайский край	300 минут (Домашний регион) и 5 Гб (Домашний регион)	300	5	240
Алтайский край	300 минут (Домашний регион) и 10 Гб (Домашний регион)	300	10	300
Алтайский край	300 минут (Домашний регион) и 15 Гб (Домашний регион)	300	15	360
Алтайский край	300 минут (Домашний регион) и 20 Гб (Домашний регион)	300	20	420
Алтайский край	600 минут (Домашний регион) и 5 Гб (Домашний регион)	600	5	350
Алтайский край	600 минут (Домашний регион) и 10 Гб (Домашний регион)	600	10	410
Алтайский край	600 минут (Домашний регион) и 15 Гб (Домашний регион)	600	15	470
Алтайский край	600 минут (Домашний регион) и 20 Гб (Домашний регион)	600	20	530
Алтайский край	1500 минут (Домашний регион) и 5 Гб (Домашний регион)	1500	5	580
Алтайский край	1500 минут (Домашний регион) и 10 Гб (Домашний регион)	1500	10	640
Алтайский край	1500 минут (Домашний регион) и 15 Гб (Домашний регион)	1500	15	700
Алтайский край	1500 минут (Домашний регион) и 20 Гб (Домашний регион)	1500	20	760
Алтайский край	5000 минут (Домашний регион) и 5 Гб (Домашний регион)	5000	5	1420
Алтайский край	5000 минут (Домашний регион) и 10 Гб (Домашний регион)	5000	10	1480
Алтайский край	5000 минут (Домашний регион) и 15 Гб (Домашний регион)	5000	15	1540
Алтайский край	5000 минут (Домашний регион) и 20 Гб (Домашний регион)	5000	20	1600
Алтайский край	300 минут (Домашний регион) и 5 Гб (Домашний регион + Поездки по России)	300	5	260
Алтайский край	300 минут (Домашний регион) и 10 Гб (Домашний регион + Поездки по России)	300	10	320
Алтайский край	300 минут (Домашний регион) и 15 Гб (Домашний регион + Поездки по России)	300	15	380
Алтайский край	300 минут (Домашний регион) и 20 Гб (Домашний регион + Поездки по России)	300	20	440
Алтайский край	600 минут (Домашний регион) и 5 Гб (Домашний регион + Поездки по России)	600	5	370
Алтайский край	600 минут (Домашний регион) и 10 Гб (Домашний регион + Поездки по России)	600	10	430
Алтайский край	600 минут (Домашний регион) и 15 Гб (Домашний регион + Поездки по России)	600	15	490
Алтайский край	600 минут (Домашний регион) и 20 Гб (Домашний регион + Поездки по России)	600	20	550
Алтайский край	1500 минут (Домашний регион) и 5 Гб (Домашний регион + Поездки по России)	1500	5	600
Алтайский край	1500 минут (Домашний регион) и 10 Гб (Домашний регион + Поездки по России)	1500	10	660
Алтайский край	1500 минут (Домашний регион) и 15 Гб (Домашний регион + Поездки по России)	1500	15	720
Алтайский край	1500 минут (Домашний регион) и 20 Гб (Домашний регион + Поездки по России)	1500	20	780
Алтайский край	5000 минут (Домашний регион) и 5 Гб (Домашний регион + Поездки по России)	5000	5	1440
Алтайский край	5000 минут (Домашний регион) и 10 Гб (Домашний регион + Поездки по России)	5000	10	1500
Алтайский край	5000 минут (Домашний регион) и 15 Гб (Домашний регион + Поездки по России)	5000	15	1560
Алтайский край	5000 минут (Домашний регион) и 20 Гб (Домашний регион + Поездки по России)	5000	20	1620
Алтайский край	300 минут (Домашний регион + Межгород) и 5 Гб (Домашний регион)	300	5	270
Алтайский край	300 минут (Домашний регион + Межгород) и 10 Гб (Домашний регион)	300	10	330
Алтайский край	300 минут (Домашний регион + Межгород) и 15 Гб (Домашний регион)	300	15	390
Алтайский край	300 минут (Домашний регион + Межгород) и 20 Гб (Домашний регион)	300	20	450
Алтайский край	600 минут (Домашний регион + Межгород) и 5 Гб (Домашний регион)	600	5	420
Алтайский край	600 минут (Домашний регион + Межгород) и 10 Гб (Домашний регион)	600	10	480
Алтайский край	600 минут (Домашний регион + Межгород) и 15 Гб (Домашний регион)	600	15	540
Алтайский край	600 минут (Домашний регион + Межгород) и 20 Гб (Домашний регион)	600	20	600
Алтайский край	1500 минут (Домашний регион + Межгород) и 5 Гб (Домашний регион)	1500	5	720
Алтайский край	1500 минут (Домашний регион + Межгород) и 10 Гб (Домашний регион)	1500	10	780
Алтайский край	1500 минут (Домашний регион + Межгород) и 15 Гб (Домашний регион)	1500	15	840
Алтайский край	1500 минут (Домашний регион + Межгород) и 20 Гб (Домашний регион)	1500	20	900
Алтайский край	5000 минут (Домашний регион + Межгород) и 5 Гб (Домашний регион)	5000	5	1520
Алтайский край	5000 минут (Домашний регион + Межгород) и 10 Гб (Домашний регион)	5000	10	1580
Алтайский край	5000 минут (Домашний регион + Межгород) и 15 Гб (Домашний регион)	5000	15	1640
Алтайский край	5000 минут (Домашний регион + Межгород) и 20 Гб (Домашний регион)	5000	20	1700
Алтайский край	300 минут (Домашний регион + Межгород) и 5 Гб (Домашний регион + Поездки по России)	300	5	290
Алтайский край	300 минут (Домашний регион + Межгород) и 10 Гб (Домашний регион + Поездки по России)	300	10	350
Алтайский край	300 минут (Домашний регион + Межгород) и 15 Гб (Домашний регион + Поездки по России)	300	15	410
Алтайский край	300 минут (Домашний регион + Межгород) и 20 Гб (Домашний регион + Поездки по России)	300	20	470
Алтайский край	600 минут (Домашний регион + Межгород) и 5 Гб (Домашний регион + Поездки по России)	600	5	440
Алтайский край	600 минут (Домашний регион + Межгород) и 10 Гб (Домашний регион + Поездки по России)	600	10	500
