Строка_шаблон(Мегафон)	ID_зоны(Редактор)	Объем	Наименование_зоны(Редактор)
300 минут (Домашний регион)	151	50	/Операторы домашнего региона
350 минут (Домашний регион)	151	50	/Операторы домашнего региона
400 минут (Домашний регион)	151	50	/Операторы домашнего региона
500 минут (Домашний регион)	151	50	/Операторы домашнего региона
600 минут (Домашний регион)	151	50	/Операторы домашнего региона
700 минут (Домашний регион)	151	50	/Операторы домашнего региона
800 минут (Домашний регион)	151	50	/Операторы домашнего региона
1000 минут (Домашний регион)	151	50	/Операторы домашнего региона
1500 минут (Домашний регион)	151	100	/Операторы домашнего региона
2000 минут (Домашний регион)	151	100	/Операторы домашнего региона
3500 минут (Домашний регион)	151	100	/Операторы домашнего региона
5000 минут (Домашний регион)	151	100	/Операторы домашнего региона

300 минут (Домашний регион + Межгород)	151	50	/Операторы домашнего региона
300 минут (Домашний регион + Межгород)	18	50	/Остальные операторы России (*2)
350 минут (Домашний регион + Межгород)	151	50	/Операторы домашнего региона
350 минут (Домашний регион + Межгород)	18	50	/Остальные операторы России (*2)
400 минут (Домашний регион + Межгород)	151	50	/Операторы домашнего региона
400 минут (Домашний регион + Межгород)	18	50	/Остальные операторы России (*2)
500 минут (Домашний регион + Межгород)	151	50	/Операторы домашнего региона
500 минут (Домашний регион + Межгород)	18	50	/Остальные операторы России (*2)
600 минут (Домашний регион + Межгород)	151	50	/Операторы домашнего региона
600 минут (Домашний регион + Межгород)	18	50	/Остальные операторы России (*2)
700 минут (Домашний регион + Межгород)	151	50	/Операторы домашнего региона
700 минут (Домашний регион + Межгород)	18	50	/Остальные операторы России (*2)
800 минут (Домашний регион + Межгород)	151	50	/Операторы домашнего региона
800 минут (Домашний регион + Межгород)	18	50	/Остальные операторы России (*2)
1000 минут (Домашний регион + Межгород)	151	50	/Операторы домашнего региона
1000 минут (Домашний регион + Межгород)	18	50	/Остальные операторы России (*2)
1500 минут (Домашний регион + Межгород)	151	100	/Операторы домашнего региона
1500 минут (Домашний регион + Межгород)	18	100	/Остальные операторы России (*2)
2000 минут (Домашний регион + Межгород)	151	100	/Операторы домашнего региона
2000 минут (Домашний регион + Межгород)	18	100	/Остальные операторы России (*2)
3500 минут (Домашний регион + Межгород)	151	100	/Операторы домашнего региона
3500 минут (Домашний регион + Межгород)	18	100	/Остальные операторы России (*2)
5000 минут (Домашний регион + Межгород)	151	100	/Операторы домашнего региона
5000 минут (Домашний регион + Межгород)	18	100	/Остальные операторы России (*2)

300 минут (Домашний регион + Межгород + Поездки по России)	151	50	/Операторы домашнего региона
300 минут (Домашний регион + Межгород + Поездки по России)	18	50	/Остальные операторы России (*2)
300 минут (Домашний регион + Межгород + Поездки по России)	697	50	Внутрисетевой роуминг/Другие мобильные домашнего региона
300 минут (Домашний регион + Межгород + Поездки по России)	62	50	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)
350 минут (Домашний регион + Межгород + Поездки по России)	151	50	/Операторы домашнего региона
350 минут (Домашний регион + Межгород + Поездки по России)	18	50	/Остальные операторы России (*2)
350 минут (Домашний регион + Межгород + Поездки по России)	697	50	Внутрисетевой роуминг/Другие мобильные домашнего региона
350 минут (Домашний регион + Межгород + Поездки по России)	62	50	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)
400 минут (Домашний регион + Межгород + Поездки по России)	151	50	/Операторы домашнего региона
400 минут (Домашний регион + Межгород + Поездки по России)	18	50	/Остальные операторы России (*2)
400 минут (Домашний регион + Межгород + Поездки по России)	697	50	Внутрисетевой роуминг/Другие мобильные домашнего региона
400 минут (Домашний регион + Межгород + Поездки по России)	62	50	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)
500 минут (Домашний регион + Межгород + Поездки по России)	151	50	/Операторы домашнего региона
500 минут (Домашний регион + Межгород + Поездки по России)	18	50	/Остальные операторы России (*2)
500 минут (Домашний регион + Межгород + Поездки по России)	697	50	Внутрисетевой роуминг/Другие мобильные домашнего региона
500 минут (Домашний регион + Межгород + Поездки по России)	62	50	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)
600 минут (Домашний регион + Межгород + Поездки по России)	151	50	/Операторы домашнего региона
600 минут (Домашний регион + Межгород + Поездки по России)	18	50	/Остальные операторы России (*2)
600 минут (Домашний регион + Межгород + Поездки по России)	697	50	Внутрисетевой роуминг/Другие мобильные домашнего региона
600 минут (Домашний регион + Межгород + Поездки по России)	62	50	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)
700 минут (Домашний регион + Межгород + Поездки по России)	151	50	/Операторы домашнего региона
700 минут (Домашний регион + Межгород + Поездки по России)	18	50	/Остальные операторы России (*2)
700 минут (Домашний регион + Межгород + Поездки по России)	697	50	Внутрисетевой роуминг/Другие мобильные домашнего региона
700 минут (Домашний регион + Межгород + Поездки по России)	62	50	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)
